ew,he1,he2,wm,om,nl
71.0,151.0,173.5,146.0,-1.0,59.0
79.5,157.0,156.5,151.0,11.0,69.5
68.5,161.0,172.5,125.0,-2.0,43.5
77.5,157.0,154.0,149.0,7.0,71.0
84.0,164.0,181.5,157.0,-4.0,65.0
76.5,153.0,178.0,105.0,-30.0,107.0
78.0,162.0,174.0,122.0,4.0,71.5
77.5,166.5,162.5,157.0,1.0,47.0
75.5,156.0,168.5,121.0,8.0,70.5
76.5,162.5,170.5,146.0,-5.0,43.0
79.0,174.0,192.5,156.0,0.0,57.0
78.0,149.5,174.5,172.0,5.0,54.0
79.0,150.5,168.5,148.0,-2.0,72.0
69.0,165.0,193.5,121.0,3.0,61.5
76.5,166.0,156.0,161.0,2.0,46.5
78.0,155.0,161.5,173.0,0.0,53.0
88.0,184.5,183.5,152.0,-5.0,64.5
78.5,159.0,161.0,157.0,6.0,44.5
79.5,175.5,191.0,149.0,-5.0,56.5
83.5,172.5,180.5,160.0,7.0,72.0
90.0,185.0,186.5,160.0,-1.0,64.5
71.5,152.5,175.0,157.0,-3.0,44.0
80.0,148.5,169.5,169.0,2.0,54.5
81.0,150.5,166.0,141.0,-1.0,72.0
73.5,141.0,148.5,160.0,2.0,69.5
73.0,145.5,156.5,127.0,-1.0,71.0
69.0,165.0,165.5,123.0,0.0,63.0
71.0,166.0,175.0,135.0,3.0,50.0
81.0,154.0,171.5,142.0,0.0,72.5
71.0,152.0,176.0,149.0,-2.0,56.0
80.5,157.0,166.0,153.0,2.0,73.5
75.0,160.5,160.0,140.0,1.0,62.0
77.0,126.0,151.5,152.0,2.0,74.5
77.5,151.5,179.5,117.0,-34.0,113.0
72.5,167.0,178.0,138.0,4.0,63.5
80.5,161.5,164.0,172.0,-3.0,47.5
