ew,he1,he2,wm,om,nl
69.5,169.5,198.5,114.0,49.0,106.0
80.5,185.5,208.5,133.0,12.0,88.5
79.5,187.0,203.5,137.0,45.0,91.0
81.5,186.5,206.5,127.0,18.0,90.0
78.5,168.5,189.5,171.0,15.0,75.5
78.5,171.0,195.5,171.0,42.0,81.5
78.5,167.5,197.0,164.0,40.0,86.0
71.5,155.0,174.5,121.0,70.0,100.5
71.5,159.0,186.5,123.0,54.0,97.0
71.0,159.0,182.0,116.0,52.0,93.5
71.5,187.0,193.5,126.0,44.0,67.0
68.0,190.5,189.0,129.0,60.0,65.5
66.5,186.0,183.5,126.0,54.0,66.5
72.5,183.0,194.0,132.0,24.0,57.5
71.0,182.5,192.0,132.0,21.0,55.5
71.5,183.5,191.5,128.0,22.0,56.5
74.5,166.0,187.0,122.0,58.0,96.5
73.5,162.5,185.5,122.0,67.0,95.0
73.0,163.5,181.0,113.0,47.0,96.5
76.0,176.0,192.5,131.0,58.0,93.5
75.5,174.0,191.0,127.0,62.0,92.5
76.0,173.0,189.5,127.0,54.0,92.0
74.5,174.0,194.0,130.0,29.0,85.0
77.0,170.5,192.0,125.0,29.0,80.5
72.5,167.5,187.0,119.0,36.0,79.0
82.5,158.5,187.0,139.0,50.0,90.0
80.0,159.0,187.5,134.0,51.0,88.5
80.0,163.5,189.0,139.0,53.0,86.5
70.5,149.0,165.0,138.0,39.0,71.0
70.5,148.0,165.5,139.0,37.0,69.5
70.5,148.0,163.0,140.0,36.0,70.0
71.0,139.0,170.5,128.0,40.0,81.0
73.5,138.0,174.0,132.0,42.0,87.0
72.0,138.0,174.5,131.0,50.0,86.0
72.0,175.0,199.5,130.0,36.0,82.0
71.0,173.0,199.5,131.0,37.0,79.0
73.0,176.5,200.0,132.0,33.0,79.5
78.5,164.5,198.5,131.0,44.0,101.0
77.0,165.0,200.5,130.0,49.0,104.0
76.5,165.0,198.5,128.0,51.0,105.5
78.5,185.0,208.0,123.0,36.0,97.5
79.0,186.5,210.5,131.0,48.0,99.5
80.0,192.0,212.0,130.0,47.0,97.0
77.5,183.5,200.0,127.0,52.0,104.5
79.5,189.5,205.0,129.0,53.0,109.0
80.0,185.5,203.0,124.0,21.0,92.5
69.5,162.5,180.5,138.0,28.0,76.0
68.5,165.5,181.5,140.0,39.0,81.0
71.5,163.0,183.5,139.0,47.0,84.0
78.5,164.0,192.0,130.0,22.0,85.5
79.5,170.0,189.5,132.0,24.0,82.0
73.5,168.0,185.5,121.0,33.0,88.5
80.5,155.0,182.5,160.0,29.0,73.5
79.5,161.5,174.0,162.0,34.0,76.0
81.0,166.5,180.0,167.0,34.0,74.5
73.5,164.0,180.0,128.0,64.0,82.5
71.0,164.0,182.0,121.0,67.0,87.0
71.0,161.5,177.0,122.0,69.0,84.5
76.0,169.0,204.5,146.0,53.0,93.5
77.0,168.0,205.0,143.0,56.0,93.0
80.5,173.0,212.0,144.0,54.0,96.0
75.0,170.5,187.0,132.0,59.0,84.5
74.5,170.5,187.0,132.0,66.0,86.5
74.0,167.0,184.0,127.0,68.0,86.5
79.5,172.5,198.0,149.0,46.0,83.0
78.5,168.5,197.0,152.0,45.0,79.0
77.0,166.5,191.0,148.0,46.0,78.0
74.0,166.0,178.5,117.0,56.0,75.5
72.5,165.5,178.5,111.0,61.0,82.5
77.5,177.0,191.5,122.0,61.0,86.5
74.0,183.5,199.0,129.0,38.0,94.0
76.5,187.0,205.5,125.0,32.0,90.0
74.0,183.0,202.5,130.0,41.0,94.5
71.5,165.5,190.5,132.0,63.0,87.5
75.5,165.0,190.0,138.0,62.0,91.0
73.0,162.5,191.0,134.0,70.0,88.0
80.0,179.0,189.0,128.0,22.0,68.0
79.0,179.0,190.5,123.0,31.0,70.0
80.0,177.0,191.0,124.0,30.0,70.5
67.0,155.5,178.5,121.0,67.0,90.5
70.0,163.5,181.0,119.0,61.0,89.0
70.0,161.5,183.5,118.0,63.0,90.5
71.5,185.0,202.0,113.0,47.0,76.5
69.0,188.0,207.5,112.0,53.0,76.0
71.5,188.0,200.5,113.0,46.0,73.5
78.5,167.5,197.0,139.0,58.0,94.0
73.5,158.0,187.5,126.0,50.0,89.5
73.5,159.5,189.0,129.0,52.0,89.5
68.5,157.0,169.0,117.0,58.0,99.0
69.0,157.5,174.0,125.0,68.0,107.0
69.5,163.5,176.0,129.0,69.0,111.5
63.0,146.0,179.5,128.0,77.0,91.0
63.5,149.0,183.5,129.0,78.0,93.0
61.5,145.5,178.5,127.0,91.0,95.0
69.5,152.0,175.5,125.0,74.0,105.0
70.0,149.5,174.5,125.0,71.0,105.5
71.5,158.5,180.5,125.0,64.0,103.0
78.0,159.0,195.5,127.0,45.0,85.5
76.0,155.0,193.5,125.0,48.0,88.0
81.5,163.5,199.5,135.0,51.0,90.0
70.0,185.5,207.0,134.0,39.0,73.0
73.5,182.5,199.5,134.0,38.0,73.0
72.5,178.0,196.5,130.0,41.0,73.5
69.0,144.0,162.5,126.0,55.0,88.5
70.0,143.5,165.5,129.0,58.0,90.5
69.0,145.0,164.5,128.0,64.0,90.0
85.5,183.5,213.0,166.0,45.0,90.5
83.5,179.5,208.5,159.0,45.0,84.0
84.5,183.5,210.0,160.0,43.0,86.5
67.0,162.0,193.5,119.0,59.0,89.0
66.5,161.5,191.5,122.0,61.0,90.0
65.0,157.5,192.5,121.0,56.0,90.0
73.5,179.0,190.5,112.0,31.0,89.5
76.0,186.0,198.5,114.0,45.0,91.0
76.5,185.5,194.0,114.0,38.0,92.5
69.0,161.0,188.5,119.0,57.0,97.0
68.0,160.0,188.0,117.0,58.0,97.0
69.0,159.0,190.0,115.0,62.0,95.0
75.0,150.0,179.0,146.0,25.0,76.0
77.5,151.5,184.0,142.0,43.0,83.5
77.0,154.5,190.0,142.0,55.0,89.5
77.0,175.5,197.5,120.0,-5.0,87.0
74.0,180.5,196.5,128.0,43.0,93.5
76.5,187.5,199.0,129.0,23.0,89.0
72.0,176.0,192.5,113.0,41.0,79.0
71.5,177.5,199.0,116.0,39.0,81.0
72.5,180.0,199.5,119.0,38.0,79.5
75.5,166.0,191.5,126.0,59.0,99.5
74.0,164.0,190.0,125.0,63.0,98.0
76.0,167.0,191.5,128.0,59.0,97.5
76.5,203.0,206.0,131.0,41.0,72.0
77.0,201.0,209.5,125.0,36.0,66.0
77.5,197.5,205.0,132.0,58.0,72.5
76.0,165.0,191.5,112.0,58.0,104.0
77.5,162.5,198.5,115.0,52.0,100.0
79.0,167.0,195.5,112.0,51.0,101.0
68.5,138.0,178.0,120.0,52.0,105.5
69.0,135.0,179.5,127.0,60.0,111.5
69.0,137.5,179.0,125.0,61.0,106.0
64.5,173.5,210.0,112.0,65.0,90.0
64.0,173.5,212.0,112.0,67.0,93.0
62.5,170.5,205.0,111.0,64.0,85.0
74.5,160.5,197.5,131.0,37.0,97.0
73.0,161.0,198.0,127.0,39.0,93.5
72.0,159.0,197.5,129.0,39.0,97.5
69.5,168.0,188.0,125.0,30.0,78.5
70.0,169.0,190.0,119.0,35.0,78.0
68.5,168.5,192.0,118.0,49.0,82.0
61.5,159.0,183.0,101.0,65.0,87.5
63.5,160.5,187.0,106.0,69.0,90.0
64.0,156.5,183.0,105.0,68.0,90.0
68.5,148.0,169.0,123.0,47.0,80.0
70.0,149.0,175.0,121.0,65.0,86.5
69.0,148.0,178.0,120.0,77.0,92.0
67.0,164.5,192.5,118.0,60.0,98.5
68.5,166.5,193.0,119.0,65.0,102.0
71.5,165.0,196.5,115.0,58.0,96.0
68.0,178.0,194.5,100.0,61.0,94.0
72.5,183.5,199.5,99.0,33.0,82.0
71.5,182.5,199.0,97.0,50.0,86.0
78.5,170.0,209.5,128.0,49.0,97.0
83.5,175.5,208.5,142.0,52.0,98.5
81.0,173.5,213.5,129.0,31.0,104.5
66.5,177.5,208.0,123.0,38.0,82.5
67.5,179.0,209.5,121.0,34.0,84.0
68.0,179.5,211.5,124.0,42.0,84.5
80.5,153.0,183.5,112.0,20.0,106.0
81.5,156.0,186.5,113.0,25.0,105.5
83.0,156.0,190.0,119.0,20.0,99.0
83.5,167.5,201.5,171.0,1.0,62.5
81.0,162.0,202.5,165.0,20.0,73.0
82.5,167.0,208.0,156.0,49.0,91.0
75.5,185.0,191.5,130.0,27.0,74.5
73.0,183.0,191.0,121.0,29.0,78.5
74.5,186.5,198.5,132.0,40.0,80.5
78.0,170.5,209.5,122.0,65.0,104.5
77.5,172.5,208.5,120.0,64.0,106.5
78.0,170.0,209.0,124.0,64.0,105.5
71.0,169.5,177.0,156.0,5.0,50.5
72.0,169.0,178.0,157.0,1.0,50.0
72.5,171.0,179.0,159.0,0.0,50.5
72.0,158.0,173.0,107.0,49.0,82.0
70.5,158.5,174.0,110.0,51.0,81.5
74.0,164.5,181.5,114.0,50.0,80.5
74.0,144.5,188.0,110.0,69.0,112.5
78.0,152.5,198.0,110.0,50.0,105.0
76.0,151.5,197.5,104.0,48.0,105.0
71.5,155.0,178.5,133.0,25.0,81.5
73.5,156.0,179.5,133.0,32.0,85.0
73.5,153.0,178.5,125.0,40.0,90.0
84.0,178.5,181.5,154.0,4.0,70.5
85.0,177.0,178.5,148.0,14.0,77.5
87.0,177.5,182.0,137.0,20.0,87.0
66.5,181.5,194.5,120.0,53.0,86.0
71.0,184.5,196.0,119.0,47.0,89.5
67.0,178.5,192.5,116.0,37.0,84.0
77.5,155.5,189.0,117.0,60.0,97.5
78.0,159.0,190.5,116.0,56.0,96.0
75.5,157.0,193.0,119.0,65.0,101.0
85.0,186.0,206.0,138.0,19.0,86.0
83.5,192.0,210.5,137.0,27.0,83.5
86.5,193.5,207.0,130.0,24.0,84.0
80.0,160.5,179.5,124.0,44.0,106.0
83.0,166.0,189.5,132.0,37.0,100.5
82.0,160.5,186.0,129.0,36.0,97.5
