ew,he1,he2,wm,om,nl
76.0,175.0,194.0,188.0,34.0,28.0
78.0,158.0,171.5,242.0,28.0,27.5
67.5,134.0,156.5,179.0,26.0,44.5
81.5,162.5,171.0,234.0,32.0,34.0
76.0,143.0,170.0,219.0,5.0,29.5
74.5,148.5,176.5,206.0,34.0,53.5
81.5,156.5,182.5,221.0,41.0,33.0
78.0,144.5,157.5,198.0,11.0,38.5
77.0,163.5,184.5,197.0,31.0,48.0
76.5,143.0,170.5,209.0,36.0,47.0
71.5,177.5,179.0,195.0,30.0,25.0
72.5,164.0,172.5,186.0,32.0,37.5
76.5,165.0,170.5,198.0,45.0,28.0
68.5,148.5,174.0,190.0,2.0,34.5
71.5,177.0,188.0,191.0,22.0,28.5
75.5,164.0,173.0,186.0,34.0,37.5
74.0,157.5,173.5,171.0,7.0,44.5
80.5,169.5,180.0,214.0,29.0,35.5
67.5,148.0,178.0,184.0,37.0,38.0
88.5,181.0,192.5,235.0,36.0,42.0
66.0,150.0,160.5,205.0,35.0,28.0
71.0,159.0,179.5,190.0,33.0,26.5
71.5,140.5,154.0,193.0,37.0,37.5
83.0,176.5,188.0,197.0,4.0,50.5
70.0,176.0,175.5,189.0,26.0,26.0
79.0,166.5,176.5,216.0,31.0,34.0
75.5,157.5,176.0,184.0,44.0,54.5
74.0,160.0,179.5,199.0,28.0,25.5
79.5,136.5,161.0,204.0,43.0,62.5
74.0,155.5,175.5,175.0,28.0,46.0
75.5,163.0,173.5,185.0,34.0,36.0
68.5,186.0,192.0,185.0,23.0,26.5
76.0,153.0,169.0,187.0,23.0,34.5
75.0,162.0,171.5,193.0,19.0,30.0
80.5,161.0,170.0,232.0,34.0,34.0
72.5,157.5,169.5,184.0,19.0,30.0
68.0,148.0,175.0,191.0,3.0,33.5
81.0,180.5,190.0,207.0,38.0,23.5
74.5,158.5,176.5,213.0,19.0,26.0
74.0,147.5,170.5,200.0,26.0,49.0
74.5,153.5,164.0,203.0,25.0,36.0
77.0,166.0,182.5,199.0,37.0,33.5
73.0,141.0,162.0,210.0,39.0,50.0
77.0,151.0,186.5,199.0,29.0,42.0
80.0,165.0,181.5,205.0,39.0,30.0
78.0,157.5,181.5,183.0,30.0,47.5
76.0,144.5,158.5,200.0,10.0,35.5
70.5,166.0,175.5,180.0,6.0,33.5
70.5,169.5,175.5,185.0,35.0,38.0
83.5,175.5,185.5,196.0,7.0,46.0
82.0,171.0,179.5,221.0,32.0,33.0
66.5,152.0,164.5,205.0,34.0,26.5
78.0,156.5,181.5,183.0,30.0,46.0
70.0,156.5,175.5,193.0,33.0,23.0
76.5,163.0,184.5,194.0,29.0,46.0
77.5,155.0,177.5,212.0,44.0,32.5
78.5,168.0,176.0,203.0,35.0,24.0
75.0,156.5,178.5,223.0,32.0,25.5
79.5,140.0,162.0,204.0,44.0,63.5
78.0,160.0,182.0,212.0,37.0,45.5
73.5,141.0,156.5,200.0,16.0,36.0
76.0,170.5,177.5,195.0,31.0,43.5
72.5,144.5,157.0,199.0,39.0,37.0
69.0,149.0,173.0,196.0,2.0,33.5
75.5,163.0,180.0,203.0,39.0,35.5
80.0,165.0,169.0,218.0,26.0,36.5
68.5,150.5,173.5,171.0,30.0,52.5
73.0,159.0,182.0,211.0,33.0,27.0
76.0,167.5,180.0,208.0,26.0,30.5
71.5,141.0,161.0,209.0,39.0,49.0
70.5,137.0,157.5,205.0,40.0,49.0
76.0,159.0,178.0,179.0,43.0,55.0
71.0,175.5,179.0,183.0,40.0,38.5
66.5,133.5,159.0,178.0,25.0,44.0
72.0,156.0,181.0,210.0,31.0,28.0
77.5,149.5,180.0,214.0,39.0,56.0
75.5,158.5,181.5,224.0,26.0,28.0
74.0,157.0,170.5,215.0,31.0,47.5
68.5,179.0,173.0,191.0,27.0,28.0
74.0,163.5,179.5,204.0,28.0,31.5
74.5,172.0,195.5,189.0,34.0,28.0
74.5,155.5,172.5,169.0,6.0,46.5
75.0,160.5,163.5,184.0,14.0,41.0
69.5,177.0,190.0,199.0,28.0,10.5
73.5,155.5,169.0,169.0,4.0,44.0
69.5,176.5,194.0,197.0,31.0,12.0
70.5,151.0,174.5,171.0,31.0,54.5
74.0,158.5,183.0,211.0,36.0,29.0
78.5,155.5,191.5,208.0,29.0,42.5
79.0,160.5,175.0,246.0,33.0,26.0
80.0,167.5,187.5,218.0,34.0,45.0
67.0,166.0,174.0,175.0,38.0,30.0
72.0,160.0,169.0,216.0,31.0,38.5
75.5,164.5,178.5,217.0,16.0,25.0
74.0,153.0,164.0,202.0,18.0,44.0
74.0,158.0,171.5,218.0,28.0,47.0
81.5,162.5,177.0,218.0,32.0,46.0
71.0,155.0,165.0,203.0,26.0,36.5
73.5,148.5,173.0,202.0,39.0,41.5
65.0,159.0,165.5,175.0,25.0,28.5
68.5,149.0,183.0,187.0,31.0,36.5
74.0,148.0,161.0,202.0,18.0,44.5
74.0,162.0,179.0,199.0,28.0,23.0
77.5,147.0,174.5,216.0,36.0,46.0
73.0,156.5,165.5,178.0,17.0,40.5
74.0,151.0,161.5,206.0,28.0,35.0
72.0,157.5,166.0,206.0,27.0,36.0
75.0,142.5,172.5,215.0,7.0,31.5
78.0,167.0,175.5,197.0,26.0,50.0
90.0,179.0,191.5,237.0,31.0,43.5
81.5,154.5,182.5,215.0,20.0,37.0
76.5,164.0,180.5,216.0,18.0,28.5
77.5,166.5,172.0,198.0,43.0,29.0
71.0,156.0,165.5,215.0,29.0,40.5
74.0,145.5,175.5,201.0,41.0,55.0
80.0,180.5,193.5,204.0,38.0,25.0
71.0,165.5,175.0,183.0,2.0,34.5
72.5,159.5,181.0,195.0,29.0,45.0
74.5,145.5,164.5,208.0,35.0,49.5
69.0,165.5,174.5,173.0,7.0,34.5
68.5,145.5,179.5,182.0,35.0,36.0
75.5,168.0,180.5,205.0,28.0,30.5
73.5,140.0,173.0,208.0,41.0,40.0
68.5,149.0,172.0,183.0,21.0,32.0
75.5,169.0,187.0,201.0,35.0,33.5
67.0,135.5,162.0,174.0,27.0,44.0
78.5,165.5,173.5,196.0,26.0,51.0
74.5,150.0,158.5,201.0,23.0,45.0
70.0,178.5,192.5,199.0,32.0,12.0
86.0,177.0,186.5,233.0,38.0,44.5
71.5,155.5,176.0,199.0,29.0,24.5
86.0,158.0,188.5,227.0,31.0,41.0
74.0,147.5,172.5,205.0,40.0,49.5
75.5,154.0,168.5,210.0,26.0,35.0
79.0,137.0,163.5,203.0,39.0,65.0
82.5,162.0,176.0,217.0,28.0,41.5
74.0,138.0,170.0,208.0,39.0,40.0
79.5,183.0,191.5,217.0,35.0,21.5
75.5,161.0,179.0,206.0,42.0,33.5
76.0,155.0,178.5,208.0,37.0,50.0
80.5,153.0,181.5,214.0,23.0,37.0
76.0,169.5,178.0,193.0,27.0,42.5
77.0,143.0,171.5,221.0,3.0,31.5
75.5,152.0,174.5,184.0,41.0,56.5
79.5,162.0,172.5,208.0,31.0,43.5
75.5,163.5,170.0,190.0,16.0,30.5
